"","clave_municipio","nom_mun","pob_mun"
"1","01001","AGUASCALIENTES",947540
"2","01002","ASIENTOS",51492
"3","01003","CALVILLO",58342
"4","01004","COSÍO",16968
"5","01005","JESÚS MARÍA",129421
"6","01006","PABELLÓN DE ARTEAGA",47641
"7","01007","RINCÓN DE ROMOS",56864
"8","01008","SAN JOSÉ DE GRACIA",9514
"9","01009","TEPEZALÁ",22443
"10","01010","EL LLANO",20746
"11","01011","SAN FRANCISCO DE LOS ROMO",61997
"12","02001","ENSENADA",442820
"13","02002","MEXICALI",1029363
"14","02003","TECATE",108318
"15","02004","TIJUANA",1882202
"16","02005","PLAYAS DE ROSARITO",126824
"17","02006","SAN QUINTÍN",117520
"18","02007","SAN FELIPE",20313
"19","03001","COMONDÚ",73019
"20","03002","MULEGÉ",64099
"21","03003","LA PAZ",291759
"22","03008","LOS CABOS",350241
"23","03009","LORETO",17956
"24","04001","CALKINÍ",42642
"25","04002","CAMPECHE",294050
"26","04003","CARMEN",248763
"27","04004","CHAMPOTÓN",78149
"28","04005","HECELCHAKÁN",31917
"29","04006","HOPELCHÉN",42136
"30","04007","PALIZADA",8584
"31","04008","TENABO",11447
"32","04009","ESCÁRCEGA",59904
"33","04010","CALAKMUL",31706
"34","04011","CANDELARIA",46831
"35","04012","SEYBAPLAYA",15292
"36","04013","DZITBALCHÉ",16459
"37","05001","ABASOLO",1022
"38","05002","ACUÑA",163038
"39","05003","ALLENDE",23056
"40","05004","ARTEAGA",29564
"41","05005","CANDELA",1643
"42","05006","CASTAÑOS",29126
"43","05007","CUATRO CIÉNEGAS",12707
"44","05008","ESCOBEDO",3045
"45","05009","FRANCISCO I. MADERO",58996
"46","05010","FRONTERA",82408
"47","05011","GENERAL CEPEDA",11898
"48","05012","GUERRERO",1643
"49","05013","HIDALGO",1735
"50","05014","JIMÉNEZ",9502
"51","05015","JUÁREZ",1584
"52","05016","LAMADRID",1764
"53","05017","MATAMOROS",118327
"54","05018","MONCLOVA",237950
"55","05019","MORELOS",7928
"56","05020","MÚZQUIZ",71616
"57","05021","NADADORES",6539
"58","05022","NAVA",33128
"59","05023","OCAMPO",9642
"60","05024","PARRAS",44471
"61","05025","PIEDRAS NEGRAS",176327
"62","05026","PROGRESO",3239
"63","05027","RAMOS ARIZPE",122202
"64","05028","SABINAS",64811
"65","05029","SACRAMENTO",2471
"66","05030","SALTILLO",879848
"67","05031","SAN BUENAVENTURA",24753
"68","05032","SAN JUAN DE SABINAS",42258
"69","05033","SAN PEDRO",100996
"70","05034","SIERRA MOJADA",6744
"71","05035","TORREÓN",720848
"72","05036","VIESCA",20305
"73","05037","VILLA UNIÓN",6188
"74","05038","ZARAGOZA",13118
"75","06001","ARMERÍA",27626
"76","06002","COLIMA",157046
"77","06003","COMALA",21706
"78","06004","COQUIMATLÁN",20837
"79","06005","CUAUHTÉMOC",31265
"80","06006","IXTLAHUACÁN",5623
"81","06007","MANZANILLO",191031
"82","06008","MINATITLÁN",10231
"83","06009","TECOMÁN",116300
"84","06010","VILLA DE ÁLVAREZ",149697
"85","07001","ACACOYAGUA",17947
"86","07002","ACALA",21187
"87","07003","ACAPETAHUA",26899
"88","07004","ALTAMIRANO",36160
"89","07005","AMATÁN",24512
"90","07006","AMATENANGO DE LA FRONTERA",31735
"91","07007","AMATENANGO DEL VALLE",11283
"92","07008","ÁNGEL ALBINO CORZO",31947
"93","07009","ARRIAGA",41134
"94","07010","BEJUCAL DE OCAMPO",7363
"95","07011","BELLA VISTA",20157
"96","07012","BERRIOZÁBAL",64632
"97","07013","BOCHIL",37263
"98","07014","EL BOSQUE",24273
"99","07015","CACAHOATÁN",50046
"100","07016","CATAZAJÁ",17619
"101","07017","CINTALAPA DE FIGUEROA",88104
"102","07018","COAPILLA",9900
"103","07019","COMITÁN DE DOMÍNGUEZ",166178
"104","07020","LA CONCORDIA",49916
"105","07021","COPAINALÁ",22192
"106","07022","CHALCHIHUITÁN",21915
"107","07023","CHAMULA",101967
"108","07024","CHANAL",13678
"109","07025","CHAPULTENANGO",7472
"110","07026","CHENALHÓ",47371
"111","07027","CHIAPA DE CORZO",112075
"112","07028","CHIAPILLA",6156
"113","07029","CHICOASÉN",5402
"114","07030","CHICOMUSELO",36785
"115","07031","CHILÓN",137262
"116","07032","ESCUINTLA",30896
"117","07033","FRANCISCO LEÓN",7245
"118","07034","FRONTERA COMALAPA",80897
"119","07035","FRONTERA HIDALGO",14556
"120","07036","LA GRANDEZA",7701
"121","07037","HUEHUETÁN",36333
"122","07038","HUIXTÁN",22975
"123","07039","HUITIUPÁN",27893
"124","07040","HUIXTLA",53229
"125","07041","LA INDEPENDENCIA",46409
"126","07042","IXHUATÁN",11377
"127","07043","IXTACOMITÁN",10961
"128","07044","IXTAPA",28991
"129","07045","IXTAPANGAJOYA",6284
"130","07046","JIQUIPILAS",41063
"131","07047","JITOTOL",24966
"132","07048","JUÁREZ",21807
"133","07049","LARRÁINZAR",31259
"134","07050","LA LIBERTAD",5226
"135","07051","MAPASTEPEC",46122
"136","07052","LAS MARGARITAS",141027
"137","07053","MAZAPA DE MADERO",7901
"138","07054","MAZATÁN",28232
"139","07055","METAPA",5876
"140","07056","MITONTIC",13755
"141","07057","MOTOZINTLA",76398
"142","07058","NICOLÁS RUÍZ",4765
"143","07059","OCOSINGO",234661
"144","07060","OCOTEPEC",14088
"145","07061","OCOZOCOAUTLA DE ESPINOSA",97392
"146","07062","OSTUACÁN",18437
"147","07063","OSUMACINTA",3983
"148","07064","OXCHUC",54932
"149","07065","PALENQUE",132088
